product_id,digikala_id,comment_id,rating,title,body,created_at,recommendation_status,likes,dislikes
P002,20661266,80241952,5,,عالب بود,26 آبان 1404,,,
P002,20661266,80158140,5,,سایز انتخابی من ۲،که تنخور زیبا و طراحی مناسب داره,24 آبان 1404,,,
P003,1731345,80357215,5,,ماندگاری و رنگ زیبا,29 آبان 1404,,,
P003,1731345,80250318,5,,عالی بود ولی این رنگ پر رنگ بود ..,26 آبان 1404,,,
P003,1731345,79993177,1,,شکسته بود مرجوع کردم,21 آبان 1404,,,
P003,1731345,79863975,4,,"جنسش خوب هست
رنگش قشنگه اما توجه کنید که خیلی تیره هست. دقیقا رنگ جگری میشه. من با قلمو میزنم که فقط هاله ای ازش بمونه",20 آبان 1404,,,
P003,1731345,79826689,1,,من از دیجی کالا سفارش دادم. متاسفانه شکسته به دستم رسید. باز نکرده مرجوعش کردم.,19 آبان 1404,,,
P003,1731345,79744547,5,,خوبه,17 آبان 1404,,,
P003,1731345,79664423,3,,رنگ رژ بنفش تیره است که روی لب تیره تر هم می‌شود و اصلا برای استفاده عادی و روزمره مناسب نیست.,15 آبان 1404,,,
P003,1731345,79580811,5,,رنگش یه کم تیره تر از عکس بود,12 آبان 1404,,,
P003,1731345,79537458,4,,خوبه والا.,11 آبان 1404,,,
P003,1731345,79520987,4,,بد نیست,10 آبان 1404,,,
P003,1731345,79497788,1,,شکستگی داشت,10 آبان 1404,,,
P003,1731345,79489548,5,,در حد انتظار,9 آبان 1404,,,
P003,1731345,79414951,3,,رنگش بنفش تیره س.دوسش ندارم,7 آبان 1404,,,
P003,1731345,79405895,3,,رنگ صورتی پررنگ مایل به بنفش هست,7 آبان 1404,,,
P003,1731345,79395710,4,,عالی من پوستم روشنه و همیشه رژ کم رنگ دوست دارم و کمی براق این رژ مات و تیره بود که تا حالا نداشتم و خوب بدم نیومد دوست دارم رنگای دیگشم که دوستان زحمت کشیدن و تست کردن تو نظرات گذاشتن رو بگیرم ممنون.,6 آبان 1404,,,
P003,1731345,79388218,3,,با رنگی ک فکر میکردم فرق داره و تیره تره کاش روشنتر بود,6 آبان 1404,,,
P003,1731345,79386463,1,,خیلی بافت خشکی داره پیشنهاد نمیکنم,6 آبان 1404,,,
P003,1731345,79339601,5,,خیلی جنسش روغنی هست من خشک و مات رو میپسندم این جنس باب میل من نبود متاسفانه,4 آبان 1404,,,
P003,1731345,79183257,4,,رنگ بنفش پر داره,29 مهر 1404,,,
P003,1731345,79168771,5,,خوب و خوشرنگه،تناژ بنفش داره.اگر قبلا ازش استفاده کردید یکم تفاوت تناژ خواهد داشت,29 مهر 1404,,,
P003,1731345,79040861,5,,خیلی خوب بود هم رنگ هم بافتش,25 مهر 1404,,,
P003,1731345,79023299,4,,"خیلی نرم و خوشرنگه
ولی زود ‌پاک میشه",24 مهر 1404,,,
P003,1731345,79006270,3,,رنگش خیلی پررنگه ولی جنس خوبی داره,24 مهر 1404,,,
P003,1731345,78972284,5,,خوب بود دقیقا همون رنگ مورد نظرم,22 مهر 1404,,,
P003,1731345,78945679,5,,نرم و خوش رنگ,22 مهر 1404,,,
P003,1731345,78918635,4,,واقعا رنگ لب و رنگ گوشتی لب بود. برای محیط رسمی خیلی رنگش مناسبه. راضیم از خریدش.سپاس,21 مهر 1404,,,
P003,1731345,78893282,3,,"رنگش خیلی قشنگ نیست، بنفش پر رنگه
اما کیفیت خوبی داره",20 مهر 1404,,,
P003,1731345,78878287,5,,بسیار نرم و خوش رنگ فقط احساس کردم ماندگاریش کمه چون حالت روغنی داره,20 مهر 1404,,,
