product_id,total_reviews,avg_rating,positive_share,negative_share,sentiment_score,summary_en,top_issues_en,top_highlights_en,sample_comments_fa
P002,2,5.0,100.0,0.0,1.0,Overall customer satisfaction with this product is high.,,,عالب بود || سایز انتخابی من ۲،که تنخور زیبا و طراحی مناسب داره
P003,200,4.107692307692307,74.0,10.5,0.635,Overall customer satisfaction with this product is high.,"quality, price, packaging","quality, price, delivery",ماندگاری و رنگ زیبا || عالی بود ولی این رنگ پر رنگ بود .. || شکسته بود مرجوع کردم
P004,7,4.0,71.4,14.3,0.571,Overall customer satisfaction with this product is high. Recent reviews show an improvement in satisfaction.,"quality, delivery, packaging",quality,اورجینال تبود خیلی خشک پودری هم نبود || راضی بودم || کاملا پودری خیلی خوبه رنگش عالیه مقاوم و با دوامه
P005,200,3.89438202247191,59.0,10.0,0.49,Customer satisfaction with this product is mixed. Recent reviews show a decline in satisfaction.,"quality, price, delivery","quality, price, delivery",خیلی گوگوله برا بچه ها جذابه || من خریدم بعد دوماه از قسمت گردن پاره شد ، همینطوری افتاده یه گوشه حیف یه تومن پول شد || خوبه بد نیس ولی طود پاره میشه بعد از دوماه با یه پرش کودکم پاره شد ....
P006,4,5.0,25.0,0.0,0.25,Overall customer satisfaction with this product is low.,,,"Red dead redemption 2 
رو به خوبی اجرا کرد ، راضی بودم. || خوب بودد || مشتی با این لپتاب میشه ردد جدید درست کرد"
P007,44,4.964285714285714,63.6,0.0,0.636,Customer satisfaction with this product is mixed.,"quality, price, delivery","quality, delivery, price",من 4 تا خریدم همش عالی بود برام 5 تا دیگه بفرستید || فکر نمیکردم خرید از دیجی کالا اونم گوشی ۲۴۰ میلیونی خرید safe  ای باشه ولی واقعا به پیشنهاد دوستم از دیجی کالا خریدم و بسیار راضیم || ای بختت جوان ایران که حتی یه گوشی هم برات شده حسرت و آرزو...
P008,2,5.0,100.0,0.0,1.0,Overall customer satisfaction with this product is high.,"price, quality","quality, price",عااااالی،هم قیمت مناسب هم کیفیت عالی || دولچه گابانا برای من عطری بود که ۱۰ سال پیش برای اولین بار که گرفتم دیگه هیچ عطری بچشم نیومد اینقدر که بوی خوبی داره اونایی که استفاده کردن میدونن چی میگم حیف که دیگه قیمت اصلیش چند ده میلیون شده در مورد ادکلن این برند با توجه به اینکه سالهاست تمام نتهای دولچه گابانارو بخوبی میشناسم و چندبار مشابهشو گرفتم و پشیمون شدم در مورد این عطر برعکس بود و متوجه اختلافی با اورجینالش نشدم ماندگاری و پخش بوهم که عالی واقعا حتی بیشتر از نمونه های اصلی بود که سالها میگرفتم ممنون از فروشنده محترم و دیجیکالا🙏
P009,27,4.16,74.1,7.4,0.667,Overall customer satisfaction with this product is high.,"quality, price, delivery","quality, price",رنگ موی خیلی خوبی هست || عالی || کیفیت  این برند متوسط ولی  راضیم
P010,200,4.186528497409326,75.0,15.0,0.6,Overall customer satisfaction with this product is high. Recent reviews show a decline in satisfaction.,"quality, packaging, price","quality, price, packaging","عالیه دوسسش دارم || متناسب با قیمت || به نام خدا

با سلام کالا خوب ولی با یه گارانتی دیگه ارسال شد."
P011,72,4.014705882352941,70.8,11.1,0.597,Overall customer satisfaction with this product is high. Recent reviews show an improvement in satisfaction.,"price, packaging, quality","quality, price","ماندگاری خوبی نداره کاملا شبیه بوی ورژن قدیمیش نیست || عالیه بوی خیلی نازی داره ولس ماندگاری نداره در حد ۱ ساعت 
هرچند که بادی اسپلشه دیگه همه‌ی بادی ها ماندگاری کمی دارن || چرا فقط الکل خالصه؟ آب الکل بیرنگ و خالص؟ هیچ گونه رایحه ای هم نداشت بر خلاف مدل قبلی که از سیگل خریدم .بوی آب الکل میداد"
P012,76,4.702702702702703,44.7,1.3,0.434,Customer satisfaction with this product is mixed. Recent reviews show a decline in satisfaction.,"price, packaging, quality","quality, price, delivery",خودم نزدیک به حدود ۸ ماهه که دارم و راضیم هستم از جای دیگه هم تهیه کردم و به دوستان پیشنهاد می‌کنم که بخرن فقط اینکه اگه میشه همیشه به فنش رسیدگی کنید گرد و خاک قاتل فنشه. با حافظه‌ای که داره حدود ۲۷ الی ۳۰ بازی جا میشه توش راحت. ولی توصیه می‌کنم یک عدد اس‌اس‌دی اضافی هم حدا الامکان براتون مقدوره نصب کنید روش. همین ریجن اروپا هست برای منم. || از ps5 فقط میتونم حسرت بخرم برا خودم || نیاز به تعریف نیست عالیه
